YEAR;ID;LAT;LON;AREA_SQNMI;SA weighted by nmlog;CountOfLogint
2018;47;51,5;-17;4482,1;0;13
2018;48;51,5;-15;4482,1;108,05;228
2018;49;51,5;-13;4482,1;229,62;110
2018;50;51,5;-11;4482,1;0;44
2018;62;52,5;-17;4383,08;0;36
2018;63;52,5;-15;4383,08;895,85;245
2018;64;52,5;-13;4383,08;404,33;220
2018;65;52,5;-11;4383,08;0;38
2018;77;53,5;-17;4282,72;0;41
2018;78;53,5;-15;4282,72;1967,27;230
2018;79;53,5;-13;4282,72;742,17;159
2018;80;53,5;-11;4282,72;0;12
2018;93;54,5;-15;4181,06;384,83;298
2018;94;54,5;-13;4181,06;2677,17;332
2018;95;54,5;-11;4181,06;1563,5;373
2018;106;55,5;-19;4078,12;0;24
2018;107;55,5;-17;4078,12;67,23;122
2018;108;55,5;-15;4078,12;63,86;139
2018;109;55,5;-13;4078,12;1658,6;264
2018;110;55,5;-11;4078,12;2106,91;280
2018;111;55,5;-9;4078,12;2711,89;59
2018;121;56,5;-19;3973,94;0;16
2018;122;56,5;-17;3973,94;0;114
2018;123;56,5;-15;3973,94;31,91;151
2018;124;56,5;-13;3973,94;1145,32;187
2018;125;56,5;-11;3973,94;2013,08;250
2018;126;56,5;-9;3973,94;1479,92;163
2018;137;57,5;-17;3868,55;0;2
2018;138;57,5;-15;3868,55;64,23;66
2018;139;57,5;-13;3868,55;405,94;67
2018;140;57,5;-11;3868,55;1829,57;191
2018;141;57,5;-9;3868,55;2706,94;198
2018;152;58,5;-17;3761,98;0;97
2018;153;58,5;-15;3761,98;15,86;128
2018;154;58,5;-13;3761,98;172,4;163
2018;155;58,5;-11;3761,98;1628,5;212
2018;156;58,5;-9;3761,98;2384,3;190
2018;157;58,5;-7;3761,98;100,36;52
2018;169;59,5;-13;3654,27;0;113
2018;170;59,5;-11;3654,27;22,93;261
2018;171;59,5;-9;3654,27;139,41;263
2018;172;59,5;-7;3654,27;249,18;222
2018;173;59,5;-5;3654,27;153,28;90
2018;183;60,5;-15;3545,44;0;14
2018;184;60,5;-13;3545,44;161,57;206
2018;185;60,5;-11;3545,44;94,53;193
2018;186;60,5;-9;3545,44;435,59;198
2018;187;60,5;-7;3545,44;356,16;190
2018;188;60,5;-5;3545,44;549,06;199
2018;189;60,5;-3;3545,44;388,6;103
2018;190;60,5;-1;3545,44;0;2
2018;208;61,5;-5;3435,54;181,05;82
2018;209;61,5;-3;3435,54;210,56;119
2018;210;61,5;-1;3435,54;525,19;32
